Step,Value
0,0.5541986
1,0.5549664
2,0.55690885
3,0.55911463
4,0.56104285
5,0.56282645
6,0.5645026
7,0.56600124
8,0.5663249
9,0.56680053
10,0.56895465
11,0.57283264
12,0.5768139
13,0.5786561
14,0.5780117
15,0.5767011
16,0.5763608
17,0.5783118
18,0.5810967
19,0.5830046
20,0.58327055
21,0.5831584
22,0.5861032
23,0.5913316
24,0.5969107
25,0.60047174
26,0.6005016
27,0.59873533
28,0.59645516
29,0.5951162
30,0.59462017
31,0.59410655
32,0.5945593
33,0.59636706
34,0.5992205
35,0.6023805
36,0.60574234
37,0.60898817
38,0.6101691
39,0.6098487
40,0.6088064
41,0.60772
42,0.60766286
43,0.6087479
44,0.61219925
45,0.61599094
46,0.61947227
47,0.62455446
48,0.6299392
49,0.63485855
50,0.63774943
51,0.6384073
52,0.6386059
53,0.63714015
54,0.6341162
55,0.62969536
56,0.6256864
57,0.62471896
58,0.6259383
59,0.6273324
60,0.62675744
61,0.6257767
62,0.62545353
63,0.62483186
64,0.62498593
65,0.6252985
66,0.6270442
67,0.62880516
68,0.6302163
69,0.6324143
70,0.63420826
71,0.6353576
72,0.6383185
73,0.64219916
74,0.6462349
75,0.6484126
76,0.64819485
77,0.6474844
78,0.64608413
79,0.64499986
80,0.64470637
81,0.6438393
82,0.6423473
83,0.639584
84,0.6375312
85,0.6375179
86,0.637282
87,0.63871276
88,0.64209175
89,0.6458079
90,0.6493918
91,0.652384
92,0.6567624
93,0.66200745
94,0.6670551
95,0.672433
96,0.67770135
97,0.6825775
98,0.685834
99,0.6875455
100,0.68859166
101,0.6890852
102,0.6898619
103,0.6899258
104,0.68926924
105,0.6876454
106,0.68540573
107,0.68215704
108,0.6774836
109,0.6722542
110,0.66663677
111,0.6604669
112,0.6556409
113,0.6532747
114,0.6548171
115,0.6579006
116,0.65891945
117,0.6600102
118,0.66018605
119,0.6591621
120,0.65728956
121,0.6553668
122,0.65408856
123,0.65188146
124,0.6487922
125,0.6464385
126,0.6449495
127,0.6438865
128,0.6433836
129,0.6434249
130,0.64397454
